source,target,weight
ER,ABO,-0.222695848392421
ER,MAN1C1,-0.157604199170115
ER,CFAP46,-0.26032597223974
ER,APCDD1,0.116799291038046
ER,RAD17P2,-0.371582114004139
ER,ST6GAL2,-0.0422575944241531
ER,GSN,-0.317282391649703
ER,CREG2,-0.573353442004329
ER,C10orf53,-0.607491004905258
ER,CARF,-0.137124015467173
ER,NDUFA5,-0.215390028929496
ER,LHX9,0.386998989690978
ER,KIAA1210,-0.157430704039217
ER,LGALS12,0.197820726053604
ER,ARHGEF38,1.1680602868821
ER,HEPH,1.14596497174968
ER,SPARCL1,-0.0826830858960518
ER,R3HDM2P2,-0.565486673368217
ER,NUDT4,0.0949088327574392
ER,MYO3B,0.396680117239465
ER,NLRP8,0.127931226398522
ER,OTP,-0.109994038308775
ER,ARHGEF28,0.163035513476608
ER,USP26,0.34957505599361
ER,GLDC,0.212195350637492
ER,SLCO1A2,-0.128300953516367
ER,UBE2D3,1.18923405022335
ER,IGSF21,1.76910519235911
ER,GPR37L1,-0.162454861264782
ER,AGMO,-0.194568603510324
ER,SLC5A8,-0.333601378753988
ER,NPHS1,0.0678361668974093
ER,HEATR4,-0.012613860226332
ER,MYBPC2,0.366469920748916
ER,LPA,-0.247040058635209
ER,FILIP1,-0.235004344092205
ER,FAM135B,-0.673639670663066
ER,TMEM215,0.0467526042995891
ER,LIPJ,0.10372009878375
ER,PTGS1,0.471101878095641
ER,GALK2,-0.266767266103247
ER,BGN,0.962377154662201
ER,ST8SIA5,-0.0806931292937099
ER,CHST15,-0.0283102544803894
ER,DMBX1,0.527793669959431
ER,FLYWCH1P1,0.0508233687507539
ER,ADAM28,0.605938756946805
ER,DNALI1,-0.110385777774606
ER,TCF7,-0.122266038826085
ER,TCERG1L,-0.0837727883541863
ER,ZMAT1,-0.0916407247448971
ER,FAM189A1,0.0209469229837962
ER,PRKRIRP9,0.0375232384644711
ER,ZNF300,-0.234557570347275
ER,SALL4P1,0.0326109831173181
ER,C11orf30,0.895430970221789
ER,PTBP2,1.1578447600232
ER,GRM7,0.6488515671223
ER,LAMA3,0.20647444668557
ER,CFAP47,-0.164572360486457
ER,RASGEF1A,0.405292533046783
ER,SLC36A3,0.178804179437792
ER,SGK1,-0.167904427903761
ER,RASGRF2,-0.145380782864388
ER,TMPRSS2,-0.286287032658906
ER,KLF8,0.23413242375398
ER,TF,0.102483064941073
ER,ERICH1,-0.142121488014331
ER,RFX6,0.195142611605774
ER,MIR497HG,-0.546237977337725
ER,PCA3,-0.314675260696623
ER,HIC1,0.101596225387147
ER,CDK15,0.176905865891693
ER,FEZ2,0.552194518820983
ER,NPAP1,0.239904256632774
ER,LDLRAD4,-0.178003391364854
ER,FAT2,-0.287958794300012
ER,NTRK2,0.468697073784743
ER,PRAM1,0.0460054966730777
